Episode,Model,hidden_layers,layer_size,adv_layers,score,mean
0,Dueling-DQN,1,6,0,11.000000,11.000000
1,Dueling-DQN,1,6,0,9.000000,10.000000
2,Dueling-DQN,1,6,0,10.000000,10.000000
3,Dueling-DQN,1,6,0,18.000000,12.000000
4,Dueling-DQN,1,6,0,22.000000,14.000000
5,Dueling-DQN,1,6,0,15.000000,14.166667
6,Dueling-DQN,1,6,0,16.000000,14.428571
7,Dueling-DQN,1,6,0,13.000000,14.250000
8,Dueling-DQN,1,6,0,18.000000,14.666667
9,Dueling-DQN,1,6,0,20.000000,15.200000
10,Dueling-DQN,1,6,0,26.000000,16.181818
11,Dueling-DQN,1,6,0,21.000000,16.583333
12,Dueling-DQN,1,6,0,16.000000,16.538462
13,Dueling-DQN,1,6,0,9.000000,16.000000
14,Dueling-DQN,1,6,0,10.000000,15.600000
15,Dueling-DQN,1,6,0,10.000000,15.250000
16,Dueling-DQN,1,6,0,9.000000,14.882353
17,Dueling-DQN,1,6,0,9.000000,14.555556
18,Dueling-DQN,1,6,0,15.000000,14.578947
19,Dueling-DQN,1,6,0,12.000000,14.450000
0,Dueling-DQN,1,6,1,15.000000,15.000000
1,Dueling-DQN,1,6,1,18.000000,16.500000
2,Dueling-DQN,1,6,1,12.000000,15.000000
3,Dueling-DQN,1,6,1,9.000000,13.500000
4,Dueling-DQN,1,6,1,11.000000,13.000000
5,Dueling-DQN,1,6,1,14.000000,13.166667
6,Dueling-DQN,1,6,1,13.000000,13.142857
7,Dueling-DQN,1,6,1,9.000000,12.625000
8,Dueling-DQN,1,6,1,27.000000,14.222222
9,Dueling-DQN,1,6,1,19.000000,14.700000
10,Dueling-DQN,1,6,1,12.000000,14.454545
11,Dueling-DQN,1,6,1,9.000000,14.000000
12,Dueling-DQN,1,6,1,11.000000,13.769231
13,Dueling-DQN,1,6,1,9.000000,13.428571
14,Dueling-DQN,1,6,1,12.000000,13.333333
15,Dueling-DQN,1,6,1,11.000000,13.187500
16,Dueling-DQN,1,6,1,12.000000,13.117647
17,Dueling-DQN,1,6,1,11.000000,13.000000
18,Dueling-DQN,1,6,1,13.000000,13.000000
19,Dueling-DQN,1,6,1,17.000000,13.200000
0,Dueling-DQN,1,6,2,11.000000,11.000000
1,Dueling-DQN,1,6,2,11.000000,11.000000
2,Dueling-DQN,1,6,2,12.000000,11.333333
3,Dueling-DQN,1,6,2,47.000000,20.250000
4,Dueling-DQN,1,6,2,13.000000,18.800000
5,Dueling-DQN,1,6,2,13.000000,17.833333
6,Dueling-DQN,1,6,2,24.000000,18.714286
7,Dueling-DQN,1,6,2,12.000000,17.875000
8,Dueling-DQN,1,6,2,14.000000,17.444444
9,Dueling-DQN,1,6,2,14.000000,17.100000
10,Dueling-DQN,1,6,2,10.000000,16.454545
11,Dueling-DQN,1,6,2,15.000000,16.333333
12,Dueling-DQN,1,6,2,12.000000,16.000000
13,Dueling-DQN,1,6,2,9.000000,15.500000
14,Dueling-DQN,1,6,2,10.000000,15.133333
15,Dueling-DQN,1,6,2,9.000000,14.750000
16,Dueling-DQN,1,6,2,18.000000,14.941176
17,Dueling-DQN,1,6,2,12.000000,14.777778
18,Dueling-DQN,1,6,2,14.000000,14.736842
19,Dueling-DQN,1,6,2,13.000000,14.650000
0,Dueling-DQN,1,12,0,15.000000,15.000000
1,Dueling-DQN,1,12,0,9.000000,12.000000
2,Dueling-DQN,1,12,0,15.000000,13.000000
3,Dueling-DQN,1,12,0,16.000000,13.750000
4,Dueling-DQN,1,12,0,13.000000,13.600000
5,Dueling-DQN,1,12,0,10.000000,13.000000
6,Dueling-DQN,1,12,0,15.000000,13.285714
7,Dueling-DQN,1,12,0,9.000000,12.750000
8,Dueling-DQN,1,12,0,14.000000,12.888889
9,Dueling-DQN,1,12,0,10.000000,12.600000
10,Dueling-DQN,1,12,0,9.000000,12.272727
11,Dueling-DQN,1,12,0,21.000000,13.000000
12,Dueling-DQN,1,12,0,15.000000,13.153846
13,Dueling-DQN,1,12,0,12.000000,13.071429
14,Dueling-DQN,1,12,0,14.000000,13.133333
15,Dueling-DQN,1,12,0,9.000000,12.875000
16,Dueling-DQN,1,12,0,21.000000,13.352941
17,Dueling-DQN,1,12,0,10.000000,13.166667
18,Dueling-DQN,1,12,0,12.000000,13.105263
19,Dueling-DQN,1,12,0,18.000000,13.350000
0,Dueling-DQN,1,12,1,54.000000,54.000000
1,Dueling-DQN,1,12,1,17.000000,35.500000
2,Dueling-DQN,1,12,1,26.000000,32.333333
3,Dueling-DQN,1,12,1,8.000000,26.250000
4,Dueling-DQN,1,12,1,17.000000,24.400000
5,Dueling-DQN,1,12,1,14.000000,22.666667
6,Dueling-DQN,1,12,1,12.000000,21.142857
7,Dueling-DQN,1,12,1,12.000000,20.000000
8,Dueling-DQN,1,12,1,12.000000,19.111111
9,Dueling-DQN,1,12,1,17.000000,18.900000
10,Dueling-DQN,1,12,1,17.000000,18.727273
11,Dueling-DQN,1,12,1,11.000000,18.083333
12,Dueling-DQN,1,12,1,11.000000,17.538462
13,Dueling-DQN,1,12,1,10.000000,17.000000
14,Dueling-DQN,1,12,1,11.000000,16.600000
15,Dueling-DQN,1,12,1,10.000000,16.187500
16,Dueling-DQN,1,12,1,11.000000,15.882353
17,Dueling-DQN,1,12,1,12.000000,15.666667
18,Dueling-DQN,1,12,1,9.000000,15.315789
19,Dueling-DQN,1,12,1,13.000000,15.200000
0,Dueling-DQN,1,12,2,11.000000,11.000000
1,Dueling-DQN,1,12,2,12.000000,11.500000
2,Dueling-DQN,1,12,2,15.000000,12.666667
3,Dueling-DQN,1,12,2,14.000000,13.000000
4,Dueling-DQN,1,12,2,12.000000,12.800000
5,Dueling-DQN,1,12,2,11.000000,12.500000
6,Dueling-DQN,1,12,2,28.000000,14.714286
7,Dueling-DQN,1,12,2,12.000000,14.375000
8,Dueling-DQN,1,12,2,14.000000,14.333333
9,Dueling-DQN,1,12,2,12.000000,14.100000
10,Dueling-DQN,1,12,2,17.000000,14.363636
11,Dueling-DQN,1,12,2,15.000000,14.416667
12,Dueling-DQN,1,12,2,22.000000,15.000000
13,Dueling-DQN,1,12,2,13.000000,14.857143
14,Dueling-DQN,1,12,2,18.000000,15.066667
15,Dueling-DQN,1,12,2,15.000000,15.062500
16,Dueling-DQN,1,12,2,18.000000,15.235294
17,Dueling-DQN,1,12,2,9.000000,14.888889
18,Dueling-DQN,1,12,2,11.000000,14.684211
19,Dueling-DQN,1,12,2,22.000000,15.050000
0,Dueling-DQN,1,24,0,10.000000,10.000000
1,Dueling-DQN,1,24,0,14.000000,12.000000
2,Dueling-DQN,1,24,0,30.000000,18.000000
3,Dueling-DQN,1,24,0,12.000000,16.500000
4,Dueling-DQN,1,24,0,19.000000,17.000000
5,Dueling-DQN,1,24,0,18.000000,17.166667
6,Dueling-DQN,1,24,0,15.000000,16.857143
7,Dueling-DQN,1,24,0,11.000000,16.125000
8,Dueling-DQN,1,24,0,14.000000,15.888889
9,Dueling-DQN,1,24,0,11.000000,15.400000
10,Dueling-DQN,1,24,0,18.000000,15.636364
11,Dueling-DQN,1,24,0,11.000000,15.250000
12,Dueling-DQN,1,24,0,10.000000,14.846154
13,Dueling-DQN,1,24,0,24.000000,15.500000
14,Dueling-DQN,1,24,0,14.000000,15.400000
15,Dueling-DQN,1,24,0,9.000000,15.000000
16,Dueling-DQN,1,24,0,10.000000,14.705882
17,Dueling-DQN,1,24,0,25.000000,15.277778
18,Dueling-DQN,1,24,0,12.000000,15.105263
19,Dueling-DQN,1,24,0,10.000000,14.850000
0,Dueling-DQN,1,24,1,10.000000,10.000000
1,Dueling-DQN,1,24,1,22.000000,16.000000
2,Dueling-DQN,1,24,1,12.000000,14.666667
3,Dueling-DQN,1,24,1,12.000000,14.000000
4,Dueling-DQN,1,24,1,9.000000,13.000000
5,Dueling-DQN,1,24,1,9.000000,12.333333
6,Dueling-DQN,1,24,1,12.000000,12.285714
7,Dueling-DQN,1,24,1,9.000000,11.875000
8,Dueling-DQN,1,24,1,23.000000,13.111111
9,Dueling-DQN,1,24,1,11.000000,12.900000
10,Dueling-DQN,1,24,1,10.000000,12.636364
11,Dueling-DQN,1,24,1,16.000000,12.916667
12,Dueling-DQN,1,24,1,13.000000,12.923077
13,Dueling-DQN,1,24,1,11.000000,12.785714
14,Dueling-DQN,1,24,1,14.000000,12.866667
15,Dueling-DQN,1,24,1,15.000000,13.000000
16,Dueling-DQN,1,24,1,11.000000,12.882353
17,Dueling-DQN,1,24,1,12.000000,12.833333
18,Dueling-DQN,1,24,1,14.000000,12.894737
19,Dueling-DQN,1,24,1,10.000000,12.750000
0,Dueling-DQN,1,24,2,11.000000,11.000000
1,Dueling-DQN,1,24,2,12.000000,11.500000
2,Dueling-DQN,1,24,2,14.000000,12.333333
3,Dueling-DQN,1,24,2,13.000000,12.500000
4,Dueling-DQN,1,24,2,13.000000,12.600000
5,Dueling-DQN,1,24,2,15.000000,13.000000
6,Dueling-DQN,1,24,2,12.000000,12.857143
7,Dueling-DQN,1,24,2,10.000000,12.500000
8,Dueling-DQN,1,24,2,13.000000,12.555556
9,Dueling-DQN,1,24,2,11.000000,12.400000
10,Dueling-DQN,1,24,2,10.000000,12.181818
11,Dueling-DQN,1,24,2,8.000000,11.833333
12,Dueling-DQN,1,24,2,13.000000,11.923077
13,Dueling-DQN,1,24,2,11.000000,11.857143
14,Dueling-DQN,1,24,2,10.000000,11.733333
15,Dueling-DQN,1,24,2,14.000000,11.875000
16,Dueling-DQN,1,24,2,9.000000,11.705882
17,Dueling-DQN,1,24,2,11.000000,11.666667
18,Dueling-DQN,1,24,2,14.000000,11.789474
19,Dueling-DQN,1,24,2,10.000000,11.700000
0,Dueling-DQN,2,6,0,14.000000,14.000000
1,Dueling-DQN,2,6,0,16.000000,15.000000
2,Dueling-DQN,2,6,0,13.000000,14.333333
3,Dueling-DQN,2,6,0,13.000000,14.000000
4,Dueling-DQN,2,6,0,17.000000,14.600000
5,Dueling-DQN,2,6,0,9.000000,13.666667
6,Dueling-DQN,2,6,0,12.000000,13.428571
7,Dueling-DQN,2,6,0,12.000000,13.250000
8,Dueling-DQN,2,6,0,12.000000,13.111111
9,Dueling-DQN,2,6,0,20.000000,13.800000
10,Dueling-DQN,2,6,0,15.000000,13.909091
11,Dueling-DQN,2,6,0,13.000000,13.833333
12,Dueling-DQN,2,6,0,17.000000,14.076923
13,Dueling-DQN,2,6,0,18.000000,14.357143
14,Dueling-DQN,2,6,0,11.000000,14.133333
15,Dueling-DQN,2,6,0,16.000000,14.250000
16,Dueling-DQN,2,6,0,9.000000,13.941176
17,Dueling-DQN,2,6,0,12.000000,13.833333
18,Dueling-DQN,2,6,0,14.000000,13.842105
19,Dueling-DQN,2,6,0,14.000000,13.850000
0,Dueling-DQN,2,6,1,18.000000,18.000000
1,Dueling-DQN,2,6,1,13.000000,15.500000
2,Dueling-DQN,2,6,1,13.000000,14.666667
3,Dueling-DQN,2,6,1,10.000000,13.500000
4,Dueling-DQN,2,6,1,15.000000,13.800000
5,Dueling-DQN,2,6,1,9.000000,13.000000
6,Dueling-DQN,2,6,1,11.000000,12.714286
7,Dueling-DQN,2,6,1,10.000000,12.375000
8,Dueling-DQN,2,6,1,14.000000,12.555556
9,Dueling-DQN,2,6,1,17.000000,13.000000
10,Dueling-DQN,2,6,1,12.000000,12.909091
11,Dueling-DQN,2,6,1,16.000000,13.166667
12,Dueling-DQN,2,6,1,22.000000,13.846154
13,Dueling-DQN,2,6,1,9.000000,13.500000
14,Dueling-DQN,2,6,1,24.000000,14.200000
15,Dueling-DQN,2,6,1,12.000000,14.062500
16,Dueling-DQN,2,6,1,13.000000,14.000000
17,Dueling-DQN,2,6,1,11.000000,13.833333
18,Dueling-DQN,2,6,1,32.000000,14.789474
19,Dueling-DQN,2,6,1,9.000000,14.500000
0,Dueling-DQN,2,6,2,12.000000,12.000000
1,Dueling-DQN,2,6,2,12.000000,12.000000
2,Dueling-DQN,2,6,2,24.000000,16.000000
3,Dueling-DQN,2,6,2,15.000000,15.750000
4,Dueling-DQN,2,6,2,12.000000,15.000000
5,Dueling-DQN,2,6,2,16.000000,15.166667
6,Dueling-DQN,2,6,2,14.000000,15.000000
7,Dueling-DQN,2,6,2,9.000000,14.250000
8,Dueling-DQN,2,6,2,12.000000,14.000000
9,Dueling-DQN,2,6,2,12.000000,13.800000
10,Dueling-DQN,2,6,2,13.000000,13.727273
11,Dueling-DQN,2,6,2,17.000000,14.000000
12,Dueling-DQN,2,6,2,13.000000,13.923077
13,Dueling-DQN,2,6,2,12.000000,13.785714
14,Dueling-DQN,2,6,2,11.000000,13.600000
15,Dueling-DQN,2,6,2,23.000000,14.187500
16,Dueling-DQN,2,6,2,10.000000,13.941176
17,Dueling-DQN,2,6,2,22.000000,14.388889
18,Dueling-DQN,2,6,2,14.000000,14.368421
19,Dueling-DQN,2,6,2,10.000000,14.150000
0,Dueling-DQN,2,12,0,14.000000,14.000000
1,Dueling-DQN,2,12,0,9.000000,11.500000
2,Dueling-DQN,2,12,0,21.000000,14.666667
3,Dueling-DQN,2,12,0,10.000000,13.500000
4,Dueling-DQN,2,12,0,18.000000,14.400000
5,Dueling-DQN,2,12,0,18.000000,15.000000
6,Dueling-DQN,2,12,0,8.000000,14.000000
7,Dueling-DQN,2,12,0,10.000000,13.500000
8,Dueling-DQN,2,12,0,10.000000,13.111111
9,Dueling-DQN,2,12,0,11.000000,12.900000
10,Dueling-DQN,2,12,0,11.000000,12.727273
11,Dueling-DQN,2,12,0,19.000000,13.250000
12,Dueling-DQN,2,12,0,10.000000,13.000000
13,Dueling-DQN,2,12,0,12.000000,12.928571
14,Dueling-DQN,2,12,0,11.000000,12.800000
15,Dueling-DQN,2,12,0,13.000000,12.812500
16,Dueling-DQN,2,12,0,12.000000,12.764706
17,Dueling-DQN,2,12,0,10.000000,12.611111
18,Dueling-DQN,2,12,0,11.000000,12.526316
19,Dueling-DQN,2,12,0,21.000000,12.950000
0,Dueling-DQN,2,12,1,10.000000,10.000000
1,Dueling-DQN,2,12,1,15.000000,12.500000
2,Dueling-DQN,2,12,1,17.000000,14.000000
3,Dueling-DQN,2,12,1,13.000000,13.750000
4,Dueling-DQN,2,12,1,10.000000,13.000000
5,Dueling-DQN,2,12,1,19.000000,14.000000
6,Dueling-DQN,2,12,1,14.000000,14.000000
7,Dueling-DQN,2,12,1,15.000000,14.125000
8,Dueling-DQN,2,12,1,25.000000,15.333333
9,Dueling-DQN,2,12,1,20.000000,15.800000
