Episode,Model,hidden_layers,layer_size,adv_layers,score,mean
10,Dueling-DQN,2,12,1,12.000000,15.454545
11,Dueling-DQN,2,12,1,13.000000,15.250000
12,Dueling-DQN,2,12,1,16.000000,15.307692
13,Dueling-DQN,2,12,1,16.000000,15.357143
14,Dueling-DQN,2,12,1,16.000000,15.400000
15,Dueling-DQN,2,12,1,9.000000,15.000000
16,Dueling-DQN,2,12,1,14.000000,14.941176
17,Dueling-DQN,2,12,1,10.000000,14.666667
18,Dueling-DQN,2,12,1,15.000000,14.684211
19,Dueling-DQN,2,12,1,13.000000,14.600000
0,Dueling-DQN,2,12,2,14.000000,14.000000
1,Dueling-DQN,2,12,2,15.000000,14.500000
2,Dueling-DQN,2,12,2,12.000000,13.666667
3,Dueling-DQN,2,12,2,10.000000,12.750000
4,Dueling-DQN,2,12,2,15.000000,13.200000
5,Dueling-DQN,2,12,2,10.000000,12.666667
6,Dueling-DQN,2,12,2,9.000000,12.142857
7,Dueling-DQN,2,12,2,12.000000,12.125000
8,Dueling-DQN,2,12,2,19.000000,12.888889
9,Dueling-DQN,2,12,2,16.000000,13.200000
10,Dueling-DQN,2,12,2,14.000000,13.272727
11,Dueling-DQN,2,12,2,11.000000,13.083333
12,Dueling-DQN,2,12,2,13.000000,13.076923
13,Dueling-DQN,2,12,2,18.000000,13.428571
14,Dueling-DQN,2,12,2,18.000000,13.733333
15,Dueling-DQN,2,12,2,14.000000,13.750000
16,Dueling-DQN,2,12,2,12.000000,13.647059
17,Dueling-DQN,2,12,2,9.000000,13.388889
18,Dueling-DQN,2,12,2,10.000000,13.210526
19,Dueling-DQN,2,12,2,11.000000,13.100000
0,Dueling-DQN,2,24,0,10.000000,10.000000
1,Dueling-DQN,2,24,0,18.000000,14.000000
2,Dueling-DQN,2,24,0,12.000000,13.333333
3,Dueling-DQN,2,24,0,22.000000,15.500000
4,Dueling-DQN,2,24,0,15.000000,15.400000
5,Dueling-DQN,2,24,0,13.000000,15.000000
6,Dueling-DQN,2,24,0,10.000000,14.285714
7,Dueling-DQN,2,24,0,11.000000,13.875000
8,Dueling-DQN,2,24,0,19.000000,14.444444
9,Dueling-DQN,2,24,0,14.000000,14.400000
10,Dueling-DQN,2,24,0,9.000000,13.909091
11,Dueling-DQN,2,24,0,15.000000,14.000000
12,Dueling-DQN,2,24,0,12.000000,13.846154
13,Dueling-DQN,2,24,0,10.000000,13.571429
14,Dueling-DQN,2,24,0,12.000000,13.466667
15,Dueling-DQN,2,24,0,12.000000,13.375000
16,Dueling-DQN,2,24,0,14.000000,13.411765
17,Dueling-DQN,2,24,0,25.000000,14.055556
18,Dueling-DQN,2,24,0,14.000000,14.052632
19,Dueling-DQN,2,24,0,13.000000,14.000000
0,Dueling-DQN,2,24,1,15.000000,15.000000
1,Dueling-DQN,2,24,1,11.000000,13.000000
2,Dueling-DQN,2,24,1,12.000000,12.666667
3,Dueling-DQN,2,24,1,14.000000,13.000000
4,Dueling-DQN,2,24,1,15.000000,13.400000
5,Dueling-DQN,2,24,1,11.000000,13.000000
6,Dueling-DQN,2,24,1,13.000000,13.000000
7,Dueling-DQN,2,24,1,15.000000,13.250000
8,Dueling-DQN,2,24,1,9.000000,12.777778
9,Dueling-DQN,2,24,1,12.000000,12.700000
10,Dueling-DQN,2,24,1,13.000000,12.727273
11,Dueling-DQN,2,24,1,12.000000,12.666667
12,Dueling-DQN,2,24,1,26.000000,13.692308
13,Dueling-DQN,2,24,1,8.000000,13.285714
14,Dueling-DQN,2,24,1,12.000000,13.200000
15,Dueling-DQN,2,24,1,10.000000,13.000000
16,Dueling-DQN,2,24,1,16.000000,13.176471
17,Dueling-DQN,2,24,1,15.000000,13.277778
18,Dueling-DQN,2,24,1,15.000000,13.368421
19,Dueling-DQN,2,24,1,15.000000,13.450000
0,Dueling-DQN,2,24,2,11.000000,11.000000
1,Dueling-DQN,2,24,2,12.000000,11.500000
2,Dueling-DQN,2,24,2,12.000000,11.666667
3,Dueling-DQN,2,24,2,10.000000,11.250000
4,Dueling-DQN,2,24,2,14.000000,11.800000
5,Dueling-DQN,2,24,2,14.000000,12.166667
6,Dueling-DQN,2,24,2,13.000000,12.285714
7,Dueling-DQN,2,24,2,9.000000,11.875000
8,Dueling-DQN,2,24,2,10.000000,11.666667
9,Dueling-DQN,2,24,2,12.000000,11.700000
10,Dueling-DQN,2,24,2,21.000000,12.545455
11,Dueling-DQN,2,24,2,11.000000,12.416667
12,Dueling-DQN,2,24,2,13.000000,12.461538
13,Dueling-DQN,2,24,2,16.000000,12.714286
14,Dueling-DQN,2,24,2,19.000000,13.133333
15,Dueling-DQN,2,24,2,10.000000,12.937500
16,Dueling-DQN,2,24,2,10.000000,12.764706
17,Dueling-DQN,2,24,2,10.000000,12.611111
18,Dueling-DQN,2,24,2,10.000000,12.473684
19,Dueling-DQN,2,24,2,11.000000,12.400000
0,Dueling-DQN,3,6,0,10.000000,10.000000
1,Dueling-DQN,3,6,0,12.000000,11.000000
2,Dueling-DQN,3,6,0,8.000000,10.000000
3,Dueling-DQN,3,6,0,23.000000,13.250000
4,Dueling-DQN,3,6,0,19.000000,14.400000
5,Dueling-DQN,3,6,0,16.000000,14.666667
6,Dueling-DQN,3,6,0,9.000000,13.857143
7,Dueling-DQN,3,6,0,12.000000,13.625000
8,Dueling-DQN,3,6,0,21.000000,14.444444
9,Dueling-DQN,3,6,0,12.000000,14.200000
10,Dueling-DQN,3,6,0,10.000000,13.818182
11,Dueling-DQN,3,6,0,11.000000,13.583333
12,Dueling-DQN,3,6,0,15.000000,13.692308
13,Dueling-DQN,3,6,0,12.000000,13.571429
14,Dueling-DQN,3,6,0,17.000000,13.800000
15,Dueling-DQN,3,6,0,12.000000,13.687500
16,Dueling-DQN,3,6,0,11.000000,13.529412
17,Dueling-DQN,3,6,0,10.000000,13.333333
18,Dueling-DQN,3,6,0,9.000000,13.105263
19,Dueling-DQN,3,6,0,12.000000,13.050000
0,Dueling-DQN,3,6,1,24.000000,24.000000
1,Dueling-DQN,3,6,1,11.000000,17.500000
2,Dueling-DQN,3,6,1,12.000000,15.666667
3,Dueling-DQN,3,6,1,24.000000,17.750000
4,Dueling-DQN,3,6,1,12.000000,16.600000
5,Dueling-DQN,3,6,1,10.000000,15.500000
6,Dueling-DQN,3,6,1,13.000000,15.142857
7,Dueling-DQN,3,6,1,13.000000,14.875000
8,Dueling-DQN,3,6,1,11.000000,14.444444
9,Dueling-DQN,3,6,1,10.000000,14.000000
10,Dueling-DQN,3,6,1,11.000000,13.727273
11,Dueling-DQN,3,6,1,9.000000,13.333333
12,Dueling-DQN,3,6,1,16.000000,13.538462
13,Dueling-DQN,3,6,1,11.000000,13.357143
14,Dueling-DQN,3,6,1,11.000000,13.200000
15,Dueling-DQN,3,6,1,12.000000,13.125000
16,Dueling-DQN,3,6,1,13.000000,13.117647
17,Dueling-DQN,3,6,1,11.000000,13.000000
18,Dueling-DQN,3,6,1,12.000000,12.947368
19,Dueling-DQN,3,6,1,11.000000,12.850000
0,Dueling-DQN,3,6,2,10.000000,10.000000
1,Dueling-DQN,3,6,2,13.000000,11.500000
2,Dueling-DQN,3,6,2,13.000000,12.000000
3,Dueling-DQN,3,6,2,12.000000,12.000000
4,Dueling-DQN,3,6,2,9.000000,11.400000
5,Dueling-DQN,3,6,2,12.000000,11.500000
6,Dueling-DQN,3,6,2,11.000000,11.428571
7,Dueling-DQN,3,6,2,19.000000,12.375000
8,Dueling-DQN,3,6,2,10.000000,12.111111
9,Dueling-DQN,3,6,2,11.000000,12.000000
10,Dueling-DQN,3,6,2,17.000000,12.454545
11,Dueling-DQN,3,6,2,12.000000,12.416667
12,Dueling-DQN,3,6,2,11.000000,12.307692
13,Dueling-DQN,3,6,2,9.000000,12.071429
14,Dueling-DQN,3,6,2,10.000000,11.933333
15,Dueling-DQN,3,6,2,10.000000,11.812500
16,Dueling-DQN,3,6,2,22.000000,12.411765
17,Dueling-DQN,3,6,2,15.000000,12.555556
18,Dueling-DQN,3,6,2,13.000000,12.578947
19,Dueling-DQN,3,6,2,13.000000,12.600000
0,Dueling-DQN,3,12,0,13.000000,13.000000
1,Dueling-DQN,3,12,0,18.000000,15.500000
2,Dueling-DQN,3,12,0,15.000000,15.333333
3,Dueling-DQN,3,12,0,9.000000,13.750000
4,Dueling-DQN,3,12,0,10.000000,13.000000
5,Dueling-DQN,3,12,0,14.000000,13.166667
6,Dueling-DQN,3,12,0,10.000000,12.714286
7,Dueling-DQN,3,12,0,10.000000,12.375000
8,Dueling-DQN,3,12,0,19.000000,13.111111
9,Dueling-DQN,3,12,0,17.000000,13.500000
10,Dueling-DQN,3,12,0,15.000000,13.636364
11,Dueling-DQN,3,12,0,13.000000,13.583333
12,Dueling-DQN,3,12,0,14.000000,13.615385
13,Dueling-DQN,3,12,0,11.000000,13.428571
14,Dueling-DQN,3,12,0,16.000000,13.600000
15,Dueling-DQN,3,12,0,23.000000,14.187500
16,Dueling-DQN,3,12,0,10.000000,13.941176
17,Dueling-DQN,3,12,0,18.000000,14.166667
18,Dueling-DQN,3,12,0,10.000000,13.947368
19,Dueling-DQN,3,12,0,15.000000,14.000000
0,Dueling-DQN,3,12,1,11.000000,11.000000
1,Dueling-DQN,3,12,1,10.000000,10.500000
2,Dueling-DQN,3,12,1,14.000000,11.666667
3,Dueling-DQN,3,12,1,19.000000,13.500000
4,Dueling-DQN,3,12,1,13.000000,13.400000
5,Dueling-DQN,3,12,1,9.000000,12.666667
6,Dueling-DQN,3,12,1,17.000000,13.285714
7,Dueling-DQN,3,12,1,10.000000,12.875000
8,Dueling-DQN,3,12,1,12.000000,12.777778
9,Dueling-DQN,3,12,1,11.000000,12.600000
10,Dueling-DQN,3,12,1,17.000000,13.000000
11,Dueling-DQN,3,12,1,14.000000,13.083333
12,Dueling-DQN,3,12,1,10.000000,12.846154
13,Dueling-DQN,3,12,1,10.000000,12.642857
14,Dueling-DQN,3,12,1,10.000000,12.466667
15,Dueling-DQN,3,12,1,12.000000,12.437500
16,Dueling-DQN,3,12,1,12.000000,12.411765
17,Dueling-DQN,3,12,1,10.000000,12.277778
18,Dueling-DQN,3,12,1,11.000000,12.210526
19,Dueling-DQN,3,12,1,10.000000,12.100000
0,Dueling-DQN,3,12,2,14.000000,14.000000
1,Dueling-DQN,3,12,2,17.000000,15.500000
2,Dueling-DQN,3,12,2,11.000000,14.000000
3,Dueling-DQN,3,12,2,9.000000,12.750000
4,Dueling-DQN,3,12,2,15.000000,13.200000
5,Dueling-DQN,3,12,2,9.000000,12.500000
6,Dueling-DQN,3,12,2,10.000000,12.142857
7,Dueling-DQN,3,12,2,13.000000,12.250000
8,Dueling-DQN,3,12,2,16.000000,12.666667
9,Dueling-DQN,3,12,2,14.000000,12.800000
10,Dueling-DQN,3,12,2,22.000000,13.636364
11,Dueling-DQN,3,12,2,13.000000,13.583333
12,Dueling-DQN,3,12,2,31.000000,14.923077
13,Dueling-DQN,3,12,2,13.000000,14.785714
14,Dueling-DQN,3,12,2,13.000000,14.666667
15,Dueling-DQN,3,12,2,19.000000,14.937500
16,Dueling-DQN,3,12,2,15.000000,14.941176
17,Dueling-DQN,3,12,2,11.000000,14.722222
18,Dueling-DQN,3,12,2,15.000000,14.736842
19,Dueling-DQN,3,12,2,10.000000,14.500000
0,Dueling-DQN,3,24,0,16.000000,16.000000
1,Dueling-DQN,3,24,0,12.000000,14.000000
2,Dueling-DQN,3,24,0,10.000000,12.666667
3,Dueling-DQN,3,24,0,10.000000,12.000000
4,Dueling-DQN,3,24,0,17.000000,13.000000
5,Dueling-DQN,3,24,0,17.000000,13.666667
6,Dueling-DQN,3,24,0,9.000000,13.000000
7,Dueling-DQN,3,24,0,34.000000,15.625000
8,Dueling-DQN,3,24,0,14.000000,15.444444
9,Dueling-DQN,3,24,0,24.000000,16.300000
10,Dueling-DQN,3,24,0,15.000000,16.181818
11,Dueling-DQN,3,24,0,29.000000,17.250000
12,Dueling-DQN,3,24,0,20.000000,17.461538
13,Dueling-DQN,3,24,0,16.000000,17.357143
14,Dueling-DQN,3,24,0,11.000000,16.933333
15,Dueling-DQN,3,24,0,12.000000,16.625000
16,Dueling-DQN,3,24,0,17.000000,16.647059
17,Dueling-DQN,3,24,0,16.000000,16.611111
18,Dueling-DQN,3,24,0,13.000000,16.421053
19,Dueling-DQN,3,24,0,12.000000,16.200000
0,Dueling-DQN,3,24,1,11.000000,11.000000
1,Dueling-DQN,3,24,1,12.000000,11.500000
2,Dueling-DQN,3,24,1,10.000000,11.000000
3,Dueling-DQN,3,24,1,8.000000,10.250000
4,Dueling-DQN,3,24,1,10.000000,10.200000
5,Dueling-DQN,3,24,1,19.000000,11.666667
6,Dueling-DQN,3,24,1,16.000000,12.285714
7,Dueling-DQN,3,24,1,19.000000,13.125000
8,Dueling-DQN,3,24,1,12.000000,13.000000
9,Dueling-DQN,3,24,1,16.000000,13.300000
10,Dueling-DQN,3,24,1,10.000000,13.000000
11,Dueling-DQN,3,24,1,10.000000,12.750000
12,Dueling-DQN,3,24,1,15.000000,12.923077
13,Dueling-DQN,3,24,1,17.000000,13.214286
14,Dueling-DQN,3,24,1,14.000000,13.266667
15,Dueling-DQN,3,24,1,9.000000,13.000000
16,Dueling-DQN,3,24,1,13.000000,13.000000
17,Dueling-DQN,3,24,1,45.000000,14.777778
18,Dueling-DQN,3,24,1,10.000000,14.526316
19,Dueling-DQN,3,24,1,18.000000,14.700000
0,Dueling-DQN,3,24,2,15.000000,15.000000
1,Dueling-DQN,3,24,2,12.000000,13.500000
2,Dueling-DQN,3,24,2,15.000000,14.000000
3,Dueling-DQN,3,24,2,10.000000,13.000000
4,Dueling-DQN,3,24,2,14.000000,13.200000
5,Dueling-DQN,3,24,2,15.000000,13.500000
6,Dueling-DQN,3,24,2,11.000000,13.142857
7,Dueling-DQN,3,24,2,11.000000,12.875000
8,Dueling-DQN,3,24,2,12.000000,12.777778
9,Dueling-DQN,3,24,2,26.000000,14.100000
10,Dueling-DQN,3,24,2,18.000000,14.454545
11,Dueling-DQN,3,24,2,14.000000,14.416667
12,Dueling-DQN,3,24,2,15.000000,14.461538
13,Dueling-DQN,3,24,2,13.000000,14.357143
14,Dueling-DQN,3,24,2,14.000000,14.333333
15,Dueling-DQN,3,24,2,10.000000,14.062500
16,Dueling-DQN,3,24,2,12.000000,13.941176
17,Dueling-DQN,3,24,2,8.000000,13.611111
18,Dueling-DQN,3,24,2,13.000000,13.578947
19,Dueling-DQN,3,24,2,17.000000,13.750000
